date,original,trend,seasonal,residual
2023-09-22,38.8944,,,
2023-09-23,38.8944,,,
2023-09-24,38.8944,,,
2023-09-25,38.898,,,
2023-09-26,38.8724,,,
2023-09-27,38.7609,,,
2023-09-28,38.5506,,,
2023-09-29,38.5543,,,
2023-09-30,38.5543,,,
2023-10-01,38.5543,,,
2023-10-02,38.7408,,,
2023-10-03,38.5177,,,
2023-10-04,38.3263,,,
2023-10-05,38.4288,,,
2023-10-06,38.5406,,,
2023-10-07,38.5406,,,
2023-10-08,38.5406,,,
2023-10-09,38.6533,,,
2023-10-10,38.4827,,,
2023-10-11,38.6049,,,
2023-10-12,38.6394,,,
2023-10-13,38.6422,,,
2023-10-14,38.6422,,,
2023-10-15,38.6422,,,
2023-10-16,38.2782,,,
2023-10-17,38.2806,,,
2023-10-18,38.5503,,,
2023-10-19,38.609,,,
2023-10-20,38.6511,,,
2023-10-21,38.6511,,,
2023-10-22,38.6511,,,
2023-10-23,38.7033,,,
2023-10-24,38.7613,,,
2023-10-25,38.9091,,,
2023-10-26,38.6171,,,
2023-10-27,38.4687,,,
2023-10-28,38.4687,,,
2023-10-29,38.4687,,,
2023-10-30,38.3774,,,
2023-10-31,38.5624,,,
2023-11-01,38.5451,,,
2023-11-02,38.2311,,,
2023-11-03,38.6703,,,
2023-11-04,38.6703,,,
2023-11-05,38.6703,,,
2023-11-06,38.7278,,,
2023-11-07,38.7206,,,
2023-11-08,38.484,,,
2023-11-09,38.4518,,,
2023-11-10,38.5225,,,
2023-11-11,38.5225,,,
2023-11-12,38.5225,,,
2023-11-13,38.542,,,
2023-11-14,38.5945,,,
2023-11-15,38.9392,,,
2023-11-16,39.3939,,,
2023-11-17,39.3054,,,
2023-11-18,39.3054,,,
2023-11-19,39.3054,,,
2023-11-20,39.2582,,,
2023-11-21,39.3986,,,
2023-11-22,39.466,,,
2023-11-23,39.3352,,,
2023-11-24,39.27,,,
2023-11-25,39.27,,,
2023-11-26,39.27,,,
2023-11-27,39.358,,,
2023-11-28,39.6579,,,
2023-11-29,39.8172,,,
2023-11-30,39.9582,,,
2023-12-01,39.7235,,,
2023-12-02,39.7235,,,
2023-12-03,39.7235,,,
2023-12-04,39.6582,,,
2023-12-05,39.7135,,,
2023-12-06,39.6461,,,
2023-12-07,39.5433,,,
2023-12-08,39.496,,,
2023-12-09,39.496,,,
2023-12-10,39.496,,,
2023-12-11,39.601,,,
2023-12-12,39.6738,,,
2023-12-13,39.9376,,,
2023-12-14,39.9217,,,
2023-12-15,40.413,,,
2023-12-16,40.413,,,
2023-12-17,40.413,,,
2023-12-18,40.5122,,,
2023-12-19,40.5918,,,
2023-12-20,40.9219,,,
2023-12-21,41.0664,,,
2023-12-22,41.2846,,,
2023-12-23,41.2846,,,
2023-12-24,41.2846,,,
2023-12-25,41.3753,,,
2023-12-26,41.3611,,,
2023-12-27,41.1538,,,
2023-12-28,41.6334,,,
2023-12-29,42.2079,,,
2023-12-30,42.2079,,,
2023-12-31,42.2079,,,
2024-01-01,41.996,,,
2024-01-02,42.0059,,,
2024-01-03,41.7209,,,
2024-01-04,41.6073,,,
2024-01-05,41.6665,,,
2024-01-06,41.6665,,,
2024-01-07,41.6665,,,
2024-01-08,41.573,,,
2024-01-09,41.7973,,,
2024-01-10,41.8185,,,
2024-01-11,41.8015,,,
2024-01-12,41.741,,,
2024-01-13,41.741,,,
2024-01-14,41.741,,,
2024-01-15,41.3879,,,
2024-01-16,41.4763,,,
2024-01-17,41.2848,,,
2024-01-18,41.21,,,
2024-01-19,41.0146,,,
2024-01-20,41.0146,,,
2024-01-21,41.0146,,,
2024-01-22,40.8404,,,
2024-01-23,40.7928,,,
2024-01-24,40.6905,,,
2024-01-25,40.8837,,,
2024-01-26,40.9161,,,
2024-01-27,40.9161,,,
2024-01-28,40.9161,,,
2024-01-29,41.0567,,,
2024-01-30,41.0042,,,
2024-01-31,41.0845,,,
2024-02-01,40.7067,,,
2024-02-02,40.6695,,,
2024-02-03,40.6695,,,
2024-02-04,40.6695,,,
2024-02-05,40.8797,,,
2024-02-06,40.3747,,,
2024-02-07,40.3946,,,
2024-02-08,40.5035,,,
2024-02-09,40.4129,,,
2024-02-10,40.4129,,,
2024-02-11,40.4129,,,
2024-02-12,40.5129,,,
2024-02-13,40.8092,,,
2024-02-14,41.1212,,,
2024-02-15,40.8684,,,
2024-02-16,40.7718,,,
2024-02-17,40.7718,,,
2024-02-18,40.7718,,,
2024-02-19,40.8919,,,
2024-02-20,41.2403,,,
2024-02-21,41.5421,,,
2024-02-22,41.7213,,,
2024-02-23,41.728,,,
2024-02-24,41.728,,,
2024-02-25,41.728,,,
2024-02-26,41.5628,,,
2024-02-27,41.5985,,,
2024-02-28,41.7179,,,
2024-02-29,41.2968,,,
2024-03-01,41.2035,,,
2024-03-02,41.2035,,,
2024-03-03,41.2035,,,
2024-03-04,41.2635,,,
2024-03-05,41.5433,,,
2024-03-06,41.6463,,,
2024-03-07,41.5918,,,
2024-03-08,41.4883,,,
2024-03-09,41.4883,,,
2024-03-10,41.4883,,,
2024-03-11,41.6957,,,
2024-03-12,41.9559,,,
2024-03-13,42.0414,,,
2024-03-14,42.4183,,,
2024-03-15,42.287,,,
2024-03-16,42.287,,,
2024-03-17,42.287,,,
2024-03-18,42.2452,,,
2024-03-19,42.447,,,
2024-03-20,42.4641,,,
2024-03-21,42.4394,,,
2024-03-22,42.4693,,,
2024-03-23,42.4693,,,
2024-03-24,42.4693,,,
2024-03-25,42.1252,,,
2024-03-26,42.4898,,,
2024-03-27,42.6911,,,
2024-03-28,42.442,,,
2024-03-29,42.367,,,
2024-03-30,42.367,,,
2024-03-31,42.367,,,
2024-04-01,42.1601,,,
2024-04-02,42.1384,,,
2024-04-03,42.2768,,,
2024-04-04,42.2643,,,
2024-04-05,42.3485,,,
2024-04-06,42.3485,,,
2024-04-07,42.3485,,,
2024-04-08,42.091,,,
2024-04-09,42.2008,,,
2024-04-10,42.3519,,,
2024-04-11,42.3616,,,
2024-04-12,42.019,,,
2024-04-13,42.019,,,
2024-04-14,42.019,,,
2024-04-15,41.9678,,,
2024-04-16,42.1618,,,
2024-04-17,42.1222,,,
2024-04-18,42.0562,,,
2024-04-19,42.2789,,,
2024-04-20,42.2789,,,
2024-04-21,42.2789,,,
2024-04-22,42.3821,,,
2024-04-23,42.3118,,,
2024-04-24,42.262,,,
2024-04-25,42.1833,,,
2024-04-26,42.5205,,,
2024-04-27,42.5205,,,
2024-04-28,42.5205,,,
2024-04-29,42.4409,,,
2024-04-30,42.4972,,,
2024-05-01,42.3641,,,
2024-05-02,42.2986,,,
2024-05-03,42.3098,,,
2024-05-04,42.3098,,,
2024-05-05,42.3098,,,
2024-05-06,42.3359,,,
2024-05-07,42.3983,,,
2024-05-08,42.3087,,,
2024-05-09,42.3168,,,
2024-05-10,42.4312,,,
2024-05-11,42.4312,,,
2024-05-12,42.4312,,,
2024-05-13,42.8148,,,
2024-05-14,42.7495,,,
2024-05-15,42.8305,,,
2024-05-16,42.8501,,,
2024-05-17,42.8452,,,
2024-05-18,42.8452,,,
2024-05-19,42.8452,,,
2024-05-20,42.7549,,,
2024-05-21,43.0802,,,
2024-05-22,43.2643,,,
2024-05-23,43.1106,,,
2024-05-24,43.3137,,,
2024-05-25,43.3137,,,
2024-05-26,43.3137,,,
2024-05-27,43.491,,,
2024-05-28,43.759,,,
2024-05-29,43.9708,,,
2024-05-30,43.9202,,,
2024-05-31,43.8171,,,
2024-06-01,43.8171,,,
2024-06-02,43.8171,,,
2024-06-03,43.985,,,
2024-06-04,43.8939,,,
2024-06-05,43.7671,,,
2024-06-06,43.6083,,,
2024-06-07,43.627,,,
2024-06-08,43.627,,,
2024-06-09,43.627,,,
2024-06-10,43.8709,,,
2024-06-11,43.4726,,,
2024-06-12,43.4594,,,
2024-06-13,43.532,,,
2024-06-14,43.885,,,
2024-06-15,43.885,,,
2024-06-16,43.885,,,
2024-06-17,43.4782,,,
2024-06-18,43.5366,,,
2024-06-19,43.4486,,,
2024-06-20,43.5744,,,
2024-06-21,43.4276,,,
2024-06-22,43.4276,,,
2024-06-23,43.4276,,,
2024-06-24,43.2347,,,
2024-06-25,43.5188,,,
2024-06-26,43.545,,,
2024-06-27,43.3133,,,
2024-06-28,43.3547,,,
2024-06-29,43.3547,,,
2024-06-30,43.3547,,,
2024-07-01,43.2658,,,
2024-07-02,43.6853,,,
2024-07-03,43.6977,,,
2024-07-04,43.8495,,,
2024-07-05,43.7814,,,
2024-07-06,43.7814,,,
2024-07-07,43.7814,,,
2024-07-08,43.8624,,,
2024-07-09,44.0781,,,
2024-07-10,44.0846,,,
2024-07-11,44.0776,,,
2024-07-12,44.3818,,,
2024-07-13,44.3818,,,
2024-07-14,44.3818,,,
2024-07-15,44.686,,,
2024-07-16,44.7263,,,
2024-07-17,44.9789,,,
2024-07-18,45.3457,,,
2024-07-19,45.2618,,,
2024-07-20,45.2618,,,
2024-07-21,45.2618,,,
2024-07-22,45.186,,,
2024-07-23,44.9952,,,
2024-07-24,44.7693,,,
2024-07-25,44.7044,,,
2024-07-26,44.683,,,
2024-07-27,44.683,,,
2024-07-28,44.683,,,
2024-07-29,44.6324,,,
2024-07-30,44.4055,,,
2024-07-31,44.4181,,,
2024-08-01,44.4016,,,
2024-08-02,44.4013,,,
2024-08-03,44.4013,,,
2024-08-04,44.4013,,,
2024-08-05,44.6467,,,
2024-08-06,45.1474,,,
2024-08-07,44.7931,,,
2024-08-08,44.7676,,,
2024-08-09,44.809,,,
2024-08-10,44.809,,,
2024-08-11,44.809,,,
2024-08-12,44.8855,,,
2024-08-13,45.1058,,,
2024-08-14,45.1957,,,
2024-08-15,45.5497,,,
2024-08-16,45.3055,,,
2024-08-17,45.3055,,,
2024-08-18,45.3055,,,
2024-08-19,45.2991,,,
2024-08-20,45.6085,,,
2024-08-21,45.8195,,,
2024-08-22,45.898,,,
2024-08-23,45.9826,,,
2024-08-24,45.9826,,,
2024-08-25,45.9826,,,
2024-08-26,45.8406,,,
2024-08-27,46.1816,,,
2024-08-28,46.1041,,,
2024-08-29,45.8791,,,
